sentence_id,df_index,sari,bertscore_precision,bertscore_recall,bertscore_f1,fre,lix,compression_ratio,novelty,dis_ori_pred,dis_ori_ref,dis_pred_ref,score_dpo
107,3618,35.398713,78.121787,77.494156,77.806699,80.451746,29.93424,52.427184,40.909091,0.366071,0.791667,0.137234,52.285766
107,3619,38.565004,77.066386,77.357304,77.211571,87.402195,25.369338,60.194175,36.842105,0.791951,0.791667,0.589539,64.267323
108,3620,50.064856,74.103808,74.062669,74.083233,91.794779,18.955882,51.77305,28.571429,0.620093,0.982672,0.716651,60.936972
108,3621,49.819675,72.680128,75.870562,74.241084,94.946342,15.900735,39.716312,27.586207,0.994619,0.982672,0.965558,69.968352
108,3622,48.773665,75.71243,73.869771,74.779755,92.180549,20.379121,60.283688,41.666667,0.228192,0.982672,0.358298,52.211293
108,3623,47.219544,71.855807,74.479616,73.144192,93.459971,18.695906,46.099291,27.586207,0.593327,0.982672,0.703801,59.255305
109,3624,38.688809,70.018566,69.265133,69.639808,84.554708,30.538012,57.303371,43.75,0.444751,0.285848,0.528949,53.257027
109,3625,44.958687,75.951296,74.845564,75.394374,93.063182,19.939394,59.550562,37.5,0.663259,0.285848,0.86933,62.351185
109,3626,41.987544,74.943262,73.036242,73.97747,87.209579,24.852632,57.303371,37.5,0.232514,0.285848,0.983966,49.867194
109,3627,43.738056,74.532551,74.69421,74.613297,81.971602,30.359173,51.685393,45.0,0.876773,0.285848,0.226862,66.082371
110,3628,41.542078,76.053184,74.784601,75.413561,86.251509,22.382883,57.954545,43.75,0.995765,0.994178,0.999873,69.538063
110,3629,43.857126,75.558597,74.113244,74.828941,84.957941,22.504202,61.363636,50.0,0.998293,0.994178,0.998749,70.242814
110,3630,47.770103,78.063661,79.444003,78.747791,97.425227,14.590909,50.0,50.0,0.994217,0.994178,0.999997,72.777521
110,3631,51.415546,81.683326,80.758244,81.218159,98.914474,18.586466,56.818182,64.285714,0.994147,0.994178,0.99999,75.449397
111,3632,37.218162,73.807144,70.009124,71.857989,87.831667,20.0,55.223881,46.153846,0.277986,0.987762,0.144957,49.812756
111,3633,44.78285,73.802751,66.426778,69.920778,74.875714,26.809524,68.656716,63.636364,0.163959,0.987762,0.026108,48.17281
111,3634,48.279227,74.612403,70.444787,72.468728,92.505,27.619048,55.223881,40.0,0.988519,0.987762,0.999884,70.133118
